Año Censal,Entidad,Actividad económica,UE Unidades económicas,H001A Personal ocupado total,A111A Producción bruta total (millones de pesos),A131A Valor agregado censal bruto (millones de pesos),,,
2023,30 Veracruz de Ignacio de la Llave,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,86,660,244.866,154.722,,,
2023,31 Yucatán,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",5,844,1338.976,266.803,,,
2023,31 Yucatán,"Subsector 512 Industria fílmica y del video, e industria del sonido",30,637,1058.102,523.986,,,
2023,31 Yucatán,Rama 5132 Edición de software,2,,,,,,
2023,31 Yucatán,Subsector 516 Radio y televisión y provisión de contenido,27,443,291.271,177.65,,,
2023,31 Yucatán,Subsector 517 Telecomunicaciones,123,854,483.226,245.022,,,
2023,31 Yucatán,"Subsector 518 Provisión de infraestructura de servicios de cómputo, procesamiento de datos, hospedaje de páginas de internet y otros servicios relacionados",2,,,,,,
2023,31 Yucatán,Subrama 54151 Servicios de diseño de sistemas de cómputo y servicios relacionados,91,1080,438.219,304.493,,,
2023,32 Zacatecas,"Subsector 334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",5,978,535.954,249.266,,,
2023,32 Zacatecas,"Subsector 512 Industria fílmica y del video, e industria del sonido",21,225,260.953,129.884,,,
2023,32 Zacatecas,Subsector 516 Radio y televisión y provisión de contenido,24,231,76.962,56.42,,,
2023,32 Zacatecas,Subsector 517 Telecomunicaciones,52,814,881.9,202.969,,,
2023,32 Zacatecas,Subrama 51929 Portales de búsqueda en la red y otros servicios de suministro de información,2,,,,,,
